lastname;firstname;poste;birthday;statut
Dupont;Jean;Formateur;19780315;1
Dupont;Marie;Gestionnaire pédagogique;19800622;1
Dupont;Thomas;Enfant;20120315;1
Dupont;Emma;Enfant;20091207;1
Martin;Pierre;Conseiller pédagogique;19750910;1
Martin;Sophie;Chargée de communication;19771123;1
Martin;Lucas;Enfant;20150108;1
Martin;Chloé;Enfant;20101130;1
Lecomte;David;Responsable RH;19820204;1
Lecomte;Isabelle;Coordinatrice pédagogique;19840719;1
Lecomte;Nathan;Enfant;20130605;1
Lecomte;Zoé;Enfant;20160214;1
Bernard;Marc;Technicien informatique;19791201;1
Bernard;Claire;Gestionnaire administrative;19810330;1
Bernard;Hugo;Enfant;20110920;1
Bernard;Léa;Enfant;20081203;1
Dubois;Alain;Chargé de projet;19760517;1
Dubois;Nathalie;Conseillère en orientation;19780828;1
Dubois;Mathis;Enfant;20140417;1
Dubois;Camille;Enfant;20111215;1
